Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,FRA,Expense (current LCU),GC.XPN.TOTL.CN,6.53E+11,6.83E+11,7.20E+11,7.44E+11,7.67E+11,7.97E+11,8.26E+11,8.58E+11,8.90E+11,9.30E+11,9.84E+11,9.79E+11,1.00E+12,1.02E+12,1.04E+12,1.06E+12,1.07E+12,1.10E+12,1.11E+12,1.13E+12,1.20E+12,1.19E+12,1.22E+12,1.24E+12
United Kingdom,GBR,Expense (current LCU),GC.XPN.TOTL.CN,3.76E+11,3.95E+11,4.27E+11,4.66E+11,4.95E+11,5.30E+11,5.61E+11,5.94E+11,6.57E+11,6.78E+11,7.10E+11,7.10E+11,7.42E+11,7.16E+11,7.34E+11,7.36E+11,7.42E+11,7.72E+11,8.07E+11,8.20E+11,1.00E+12,8.90E+11,9.09E+11,9.28E+11
Georgia,GEO,Expense (current LCU),GC.XPN.TOTL.CN,911200000,1071800000,1149100000,1248700000,1940600000,2527800000,3230600000,4440600000,5633900000,5632000000,5549900000,6039300000,6771400000,7168500000,8323000000,9565500000,10481500000,11104800000,10761600000,12115000000,14443300000,13674565934,14373743297,15072920659
Ghana,GHA,Expense (current LCU),GC.XPN.TOTL.CN,,712365300,978658300,1456817408,1875713086,2212273634,2921915559,4136575547,6200523340,6597796462,9280938302,12645724165,20247720934,24000689742,28886054616,31867942057,40162940976,45609218534,54317082842,62434270585,85770563588,72751674114,78336106456,83920538797
Greece,GRC,Expense (current LCU),GC.XPN.TOTL.CN,60520000000,64582000000,68650000000,75180000000,84175000000,85561000000,92416000000,1.03E+11,1.14E+11,1.22E+11,1.14E+11,1.11E+11,1.06E+11,1.08E+11,86827000000,90860000000,84637000000,84256000000,86075000000,86269000000,96779000000,8.12E+10,7.87E+10,7.63E+10
Guatemala,GTM,Expense (current LCU),GC.XPN.TOTL.CN,16381880000,19380430000,20758690000,24968560000,24128930000,26660700000,29905500000,32608300000,34564500000,38244513141,42143089467,46513924130,51170792587,54267625831,58198056031,59646481019,63534777665,58198056031,71118289441,77144148585,89474359245,84009813915,87812770883,91615727851
Hungary,HUN,Expense (current LCU),GC.XPN.TOTL.CN,5.51E+12,6.30E+12,7.48E+12,8.16E+12,8.78E+12,9.44E+12,1.04E+13,1.09E+13,1.21E+13,1.19E+13,1.20E+13,1.28E+13,1.29E+13,1.42E+13,1.48E+13,1.51E+13,1.58E+13,1.65E+13,1.73E+13,1.86E+13,2.13E+13,1.98E+13,2.05E+13,2.12E+13
India,IND,Expense (current LCU),GC.XPN.TOTL.CN,3.30E+12,3.60E+12,4.00E+12,4.35E+12,4.82E+12,5.51E+12,6.46E+12,7.47E+12,9.50E+12,1.07E+13,1.26E+13,1.27E+13,1.61E+13,1.87E+13,1.85E+13,2.08E+13,2.35E+13,2.67E+13,2.96E+13,,,2.97E+13,3.16E+13,3.36E+13
Ireland,IRL,Expense (current LCU),GC.XPN.TOTL.CN,30041573000,35381552000,40084769000,43273399000,46438392000,51816447000,56698915000,62920536000,69424909000,74662854000,1.04E+11,77054016000,70602607000,68781113000,68931493000,72327712000,70909537000,73117856000,77018677000,79769318000,96199271000,81497181022,82213758501,82930335980
Iceland,ISL,Expense (current LCU),GC.XPN.TOTL.CN,2.08E+11,2.37E+11,2.60E+11,2.80E+11,2.96E+11,3.54E+11,4.00E+11,4.49E+11,8.08E+11,6.77E+11,6.38E+11,6.79E+11,6.84E+11,6.83E+11,7.16E+11,7.44E+11,8.91E+11,8.31E+11,8.78E+11,9.40E+11,1.08E+12,9.96E+11,1.03E+12,1.06E+12
Israel,ISR,Expense (current LCU),GC.XPN.TOTL.CN,2.26E+11,2.43E+11,2.75E+11,2.50E+11,2.53E+11,2.63E+11,2.76E+11,2.83E+11,3.02E+11,3.20E+11,3.30E+11,3.49E+11,3.72E+11,3.94E+11,3.99E+11,4.10E+11,4.30E+11,4.62E+11,4.89E+11,5.08E+11,5.95E+11,5.56E+11,5.77E+11,5.97E+11
Italy,ITA,Expense (current LCU),GC.XPN.TOTL.CN,4.90E+11,5.22E+11,5.33E+11,5.53E+11,5.64E+11,5.85E+11,6.17E+11,6.33E+11,6.65E+11,6.94E+11,6.89E+11,6.91E+11,7.08E+11,7.05E+11,7.10E+11,7.22E+11,7.34E+11,7.45E+11,7.54E+11,7.60E+11,8.38E+11,7.99E+11,8.09E+11,8.20E+11
Jamaica,JAM,Expense (current LCU),GC.XPN.TOTL.CN,95780648100,1.14E+11,1.41E+11,1.73E+11,1.88E+11,1.92E+11,2.25E+11,2.53E+11,3.10E+11,3.87E+11,3.33E+11,3.50E+11,3.62E+11,3.58E+11,3.96E+11,4.28E+11,4.61E+11,5.05E+11,5.38E+11,5.44E+11,5.87E+11,5.84E+11,6.07E+11,6.30E+11
Jordan,JOR,Expense (current LCU),GC.XPN.TOTL.CN,1626800000,1717430000,1925200000,2130010000,2600240000,3181800000,3496580000,4110600000,4899300000,5089600000,5055200000,6047100000,6485400000,6419000000,7191300000,7045000000,7323900000,7550600000,8096200000,8293700000,8738900000,9082973626,9414552967,9746132308
Japan,JPN,Expense (current LCU),GC.XPN.TOTL.CN,9.16E+13,8.63E+13,8.45E+13,8.24E+13,7.98E+13,8.02E+13,7.94E+13,7.55E+13,8.06E+13,9.01E+13,8.71E+13,9.25E+13,9.06E+13,9.23E+13,9.12E+13,9.13E+13,9.10E+13,8.96E+13,8.95E+13,9.16E+13,1.27E+14,1.05E+14,1.06E+14,1.08E+14
Cambodia,KHM,Expense (current LCU),GC.XPN.TOTL.CN,,,1.57E+12,1.72E+12,1.75E+12,1.95E+12,2.56E+12,2.87E+12,3.59E+12,4.72E+12,5.00E+12,5.75E+12,5.99E+12,7.27E+12,8.40E+12,8.84E+12,1.06E+13,1.28E+13,1.45E+13,1.74E+13,1.95E+13,1.81E+13,1.93E+13,2.05E+13
St. Kitts and Nevis,KNA,Expense (current LCU),GC.XPN.TOTL.CN,295100000,307000000,273077000,272511000,288104000,327112248,356358593,378820994,536231961.7,545249134,530140000,594920000,546460000,560580000,621920000,638790000,702580000,654240000,,,638400000,724645677.5,742119837.9,759593998.3
"Korea, Rep.",KOR,Expense (current LCU),GC.XPN.TOTL.CN,1.00E+14,1.15E+14,1.21E+14,1.45E+14,1.56E+14,1.71E+14,1.87E+14,1.96E+14,2.11E+14,2.33E+14,2.33E+14,2.52E+14,3.55E+14,3.61E+14,3.69E+14,3.89E+14,4.09E+14,4.40E+14,4.73E+14,5.29E+14,5.77E+14,5.73E+14,6.01E+14,6.30E+14
Lebanon,LBN,Expense (current LCU),GC.XPN.TOTL.CN,7.94E+12,7.72E+12,8.19E+12,9.23E+12,8.56E+12,8.70E+12,1.05E+13,1.18E+13,1.34E+13,1.54E+13,1.50E+13,1.59E+13,1.78E+13,1.89E+13,1.88E+13,1.72E+13,1.99E+13,2.08E+13,2.43E+13,2.34E+13,1.75E+13,2.32E+13,2.39E+13,2.46E+13
Sri Lanka,LKA,Expense (current LCU),GC.XPN.TOTL.CN,2.89E+11,3.35E+11,3.62E+11,3.73E+11,4.33E+11,4.95E+11,6.21E+11,7.17E+11,8.47E+11,1.01E+12,1.08E+12,1.17E+12,1.35E+12,1.41E+12,1.53E+12,1.98E+12,2.01E+12,2.21E+12,2.35E+12,2.54E+12,2.98E+12,2.88E+12,3.04E+12,3.21E+12
Lesotho,LSO,Expense (current LCU),GC.XPN.TOTL.CN,2081787080,2386391409,2823036585,2971900000,3144500000,3576900000,4440484041,4913500167,6786020499,7697423770,6958864867,7639594617,8149861799,9754926231,10152250272,11514163960,12622738145,12206338504,13277849254,13556429016,14600640000,15308274878,16017658185,16727041491
Lithuania,LTU,Expense (current LCU),GC.XPN.TOTL.CN,4963159000,4868618000,4975895000,5255068000,5795788000,6517416000,7449647000,9093683000,11257638000,11245412000,10871353000,12240595000,11230259000,11436409000,11807271000,12048887000,12652686000,13036755000,10739395000,14238931000,17365530000,14658789780,15001249332,15343708884
Luxembourg,LUX,Expense (current LCU),GC.XPN.TOTL.CN,7842167000,8417461000,9174371000,10024011000,10937267000,11559927000,12206591000,12794061000,13854718000,15101716000,15938239000,16735796000,17967225000,18926674000,19544655000,20149123000,20704181000,21963680000,23323589000,24656401000,27631403000,26733200560,27732946721,28732692881
Latvia,LVA,Expense (current LCU),GC.XPN.TOTL.CN,3158341444,3143554960,3494789443,3789157432,4387123579,5397244466,6635983859,8163322918,10306783968,9959663007,10005386993,9656679529,9724392576,9987242531,10557664726,10706420282,10774551653,11579525728,12408897787,13461477169,14912797878,13585168885,13946955148,14308741411
"Macao SAR, China",MAC,Expense (current LCU),GC.XPN.TOTL.CN,8166697363,8431134125,8841627850,9643755178,10120172035,11262000000,12932000000,14927334590,23078063286,29395356255,33231322259,35451469155,37629531288,43112789101,49857694515,55307899412,58763132163,61408074287,64930368472,70377086974,87266900599,82645744820,87311513994,91977283169
Morocco,MAR,Expense (current LCU),GC.XPN.TOTL.CN,,,1.15E+11,1.16E+11,1.25E+11,1.55E+11,1.53E+11,1.66E+11,1.93E+11,1.95E+11,2.12E+11,2.41E+11,2.53E+11,2.50E+11,2.55E+11,2.49E+11,2.49E+11,2.61E+11,2.73E+11,2.90E+11,3.14E+11,3.06E+11,3.15E+11,3.23E+11
Moldova,MDA,Expense (current LCU),GC.XPN.TOTL.CN,4633700000,4244500000,,6136000000,8731400000,11038900000,14261600000,17316400000,20625300000,22988100000,25143800000,27024200000,29380900000,32427200000,38754500000,41571600000,42415300000,47945500000,52528400000,58312362000,65357400000,63903020538,67488346967,71073673396
Madagascar,MDG,Expense (current LCU),GC.XPN.TOTL.CN,,,,7.61E+11,1.03E+12,1.11E+12,1.37E+12,1.55E+12,1.74E+12,1.45E+12,1.79E+12,2.09E+12,2.23E+12,2.58E+12,2.98E+12,3.18E+12,3.51E+12,4.35E+12,4.51E+12,5.17E+12,5.83E+12,5.65E+12,6.00E+12,6.35E+12
Mexico,MEX,Expense (current LCU),GC.XPN.TOTL.CN,8.49E+11,,,,,,,,2.73E+12,2.62E+12,2.86E+12,3.19E+12,3.46E+12,3.51E+12,3.81E+12,4.01E+12,4.22E+12,4.48E+12,4.80E+12,4.98E+12,5.23E+12,5.39E+12,5.62E+12,5.84E+12
Malta,MLT,Expense (current LCU),GC.XPN.TOTL.CN,3656606103,3975604472,4125029117,4714963895,4644046122,4839652923,5069322152,5351856511,2599029000,2572542000,2717562000,2837700000,2972587000,3146880000,3362786000,3598395000,3727058000,4004415000,4407550000,4725037000,5669417000,5157202808,5384704769,5612206731
Mongolia,MNG,Expense (current LCU),GC.XPN.TOTL.CN,2.74E+11,3.07E+11,3.36E+11,4.50E+11,,,9.40E+11,1.15E+12,1.67E+12,1.74E+12,2.23E+12,3.22E+12,4.52E+12,4.54E+12,5.28E+12,5.57E+12,6.56E+12,6.64E+12,7.33E+12,9.69E+12,1.24E+13,1.09E+13,1.16E+13,1.24E+13
Mauritius,MUS,Expense (current LCU),GC.XPN.TOTL.CN,24595000000,26921000000,28975700000,31890300000,36434500000,38585400000,43603300000,46725600000,51264900000,61133100000,67807300000,67452000000,71378200000,81466052000,87380200000,47949952000,1.03E+11,1.05E+11,1.13E+11,1.17E+11,1.42E+11,1.30E+11,1.36E+11,1.43E+11
Malaysia,MYS,Expense (current LCU),GC.XPN.TOTL.CN,58849600000,66092306000,67731000000,73813000000,89533000000,96141000000,1.06E+11,1.21E+11,1.51E+11,1.54E+11,1.50E+11,1.80E+11,2.04E+11,2.10E+11,2.18E+11,2.15E+11,2.09E+11,2.17E+11,2.31E+11,2.63E+11,2.62E+11,2.69E+11,2.78E+11,2.87E+11
Namibia,NAM,Expense (current LCU),GC.XPN.TOTL.CN,7654536562,8849795700,9651624256,10686798294,10930737000,11744232000,12986463000,14309651461,17871938129,20602965054,23548197957,31263768465,33863034376,41624663268,50094162568,55488645963,55833767282,62847271038,59935441968,69981545614,66331272758,77474122759,82066176840,86658230922
Nicaragua,NIC,Expense (current LCU),GC.XPN.TOTL.CN,8226740000,10316000000,9083130210,10573496840,11931569820,14510000000,17918399400,20123972100,25031817260,26158250006,28045278258,32822727237,37766697235,40975749774,47579738778,55370005552,62339166346,68448285884,69240123990,69198476517,71747864696,80774655119,85338900559,89903145999
Netherlands,NLD,Expense (current LCU),GC.XPN.TOTL.CN,1.65E+11,1.78E+11,1.86E+11,1.96E+11,1.98E+11,2.02E+11,2.20E+11,2.29E+11,2.42E+11,2.59E+11,2.66E+11,2.67E+11,2.70E+11,2.74E+11,2.76E+11,2.76E+11,2.76E+11,2.79E+11,2.91E+11,3.03E+11,3.46E+11,3.17E+11,3.23E+11,3.28E+11
Norway,NOR,Expense (current LCU),GC.XPN.TOTL.CN,4.82E+11,5.11E+11,5.87E+11,6.06E+11,6.30E+11,6.62E+11,7.14E+11,7.55E+11,8.04E+11,8.64E+11,9.05E+11,9.59E+11,1.01E+12,1.06E+12,1.13E+12,1.19E+12,1.24E+12,1.29E+12,1.33E+12,1.39E+12,1.56E+12,1.54E+12,1.59E+12,1.65E+12
